;d01;d02;d03;d04;d05;d06;d07;d08
advanc;0;0;0;1;0;0;0;0
algorithm;0;0;0;0;0;0;1;0
all;0;0;3;0;0;0;0;0
altern;0;0;1;0;0;0;0;0
away;1;0;0;0;0;0;0;0
begin;0;0;1;0;0;0;0;0
benefit;0;0;0;1;0;0;0;0
build;0;0;0;1;0;0;0;0
call;1;0;0;0;0;0;0;0
canonic;0;1;0;0;0;0;0;0
capit;0;0;1;0;0;0;0;0
certain;1;0;0;0;0;0;0;0
charact;2;1;0;0;0;0;0;0
chop;1;0;0;0;0;0;0;0
class;0;0;0;0;0;1;1;0
classif;0;0;0;0;0;1;1;4
classifi;0;0;0;0;0;0;1;0
collect;0;0;0;1;0;0;0;0
consist;0;0;0;0;1;0;0;0
convert;0;0;1;0;0;0;0;0
creat;0;0;0;0;1;0;0;0
defin;1;0;0;0;0;0;0;0
descript;0;0;0;0;0;1;0;0
despit;0;1;0;0;0;0;0;0
dictionari;0;0;0;0;1;0;0;0
differ;0;1;0;0;0;0;0;0
document;1;0;0;2;1;1;1;0
each;0;0;0;1;1;0;0;0
english;0;0;1;0;0;0;0;0
everi;0;0;1;0;0;0;0;0
fix;0;0;0;0;0;1;0;0
for;0;0;1;0;0;0;0;0
function;0;0;0;0;0;0;1;0
gain;0;0;0;1;0;0;0;0
given;1;0;0;0;0;1;0;0
heurist;0;0;1;0;0;0;0;0
in;0;0;0;0;0;1;0;0
index;0;0;0;4;2;0;0;4
into;1;0;0;1;0;0;0;0
invert;0;0;0;0;1;0;0;0
just;0;0;1;0;0;0;0;0
learn;0;0;0;0;0;0;3;0
linguist;0;0;0;1;0;0;0;0
list;0;0;0;2;0;0;0;0
lowercas;0;0;3;0;0;0;0;0
major;0;0;0;1;0;0;0;0
make;0;0;2;0;0;0;0;0
map;0;0;0;0;0;0;1;0
match;0;1;0;0;0;0;0;0
method;0;0;0;0;0;0;1;0
most;0;0;1;0;0;0;0;0
normal;0;1;0;1;0;0;0;0
occur;0;1;1;0;1;0;0;0
page;0;0;0;0;0;0;0;1
perhap;1;0;0;0;0;0;0;0
piec;1;0;0;0;0;0;0;0
post;0;0;0;0;1;0;0;4
preprocess;0;0;0;1;0;0;0;0
process;0;1;0;0;0;0;0;0
produc;0;0;0;1;0;0;0;0
punctuat;1;0;0;0;0;0;0;0
retriev;0;0;0;1;0;0;0;0
s;0;0;0;0;0;0;0;1
same;1;0;0;0;0;0;0;0
sentenc;0;0;1;0;0;0;0;0
sequenc;1;1;0;0;0;0;0;0
set;0;0;0;0;0;1;0;0
simplest;0;0;1;0;0;0;0;0
some;0;0;1;0;0;0;0;0
spam;0;0;0;0;0;0;0;1
speed;0;0;0;1;0;0;0;0
step;0;0;0;1;0;0;0;0
stopword;0;0;0;0;0;0;0;4
such;1;0;0;0;0;0;0;0
superfici;0;1;0;0;0;0;0;0
supervis;0;0;0;0;0;0;1;4
task;1;0;0;0;0;0;0;0
term;0;0;0;1;1;0;0;0
text;0;0;0;1;0;1;0;0
the;0;0;1;1;0;0;0;0
throw;1;0;0;0;0;0;0;0
time;1;0;0;1;0;0;0;0
titl;0;0;1;0;0;0;0;0
to;0;0;0;1;0;0;0;0
token;2;3;2;3;0;0;0;4
turn;0;0;0;1;0;0;0;0
unit;1;0;0;0;0;0;0;0
up;1;0;0;0;0;0;0;0
uppercas;0;0;1;0;0;0;0;0
use;0;0;0;0;0;0;1;0
which;0;0;1;1;0;0;0;0
wish;0;0;0;0;0;0;1;0
word;0;0;3;0;0;0;0;0
